OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
10544,Non-urban Developed,1.72679914,75219.3745269775,1179.59448049885
10545,Non-urban Developed,2.5969265,113122.124008179,1419.44122510466
10546,Non-urban Developed,58.49163221,2547895.62560272,17429.7367048977
10547,Non-urban Developed,0.66922885,29151.6105728149,669.284820209892
10548,Non-urban Developed,7.11241606,309816.859241486,3185.17452582997
10549,Non-urban Developed,1.85754534,80914.679069519,1628.48787146185
10550,Non-urban Developed,7.1938279,313363.159046173,3541.21461423042
10551,Non-urban Developed,2.71252466,118157.580383301,1335.76909061906
10552,Non-urban Developed,1.37439812,59868.78515625,952.416610623729
10553,Non-urban Developed,11.94749561,520432.9349823,5194.01830893746
10554,Non-urban Developed,1.51078986,65810.0098876953,1086.5048814572
10555,Non-urban Developed,170.58541847,7430701.19750214,43200.5744315826
10556,Non-urban Developed,7.41491745,322993.820320129,3264.14102407772
10557,Non-urban Developed,1.08668496,47335.9992599487,849.180264180277
10558,Non-urban Developed,0.66008802,28753.4357681274,935.039098800042
10559,Non-urban Developed,2.56691136,111814.664779663,1711.3849733668
10560,Non-urban Developed,7.23106281,314985.111839294,3212.83326873233
10561,Non-urban Developed,1.93012914,84076.429725647,1419.83110632774
10562,Non-urban Developed,0.68458108,29820.3535766602,867.848502500962
10563,Non-urban Developed,5.34643517,232890.727920532,3401.02973867911
10564,Non-urban Developed,1.57465276,68591.8777084351,1057.86084021532
10565,Non-urban Developed,11.86986019,517051.135864258,4626.73811778795
10566,Non-urban Developed,2.88668656,125744.073020935,2155.30299826341
10567,Non-urban Developed,3.08644683,134445.630615234,1692.7563078421
10568,Non-urban Developed,1.85465562,80788.8030776978,1133.06477267621
10569,Non-urban Developed,6.42542805,279891.660148621,2812.31392975631
10570,Non-urban Developed,1.61378718,70296.5732574463,1063.95027482234
10571,Non-urban Developed,3.435205,149637.537387848,1855.69388194177
10572,Non-urban Developed,0.77276854,33661.7993927002,823.965843614959
10573,Non-urban Developed,5.16945092,225181.293334961,2235.92288238784
